time,half,normand,stull,third
2017-08-20 12:54:00,15.0,14.718614340242755,14.556358128645737,15.369999999999997
2017-08-20 13:54:00,15.0,14.718923456285117,14.556358128645737,15.369999999999997
2017-08-20 14:54:00,14.75,14.535012794087525,14.386529277824703,15.036666666666665
2017-08-20 15:54:00,14.75,14.535133058531228,14.386529277824703,15.036666666666665
2017-08-20 16:54:00,15.305,14.941993811470898,14.768908447007849,15.776666666666664
2017-08-20 17:54:00,15.555,15.122866872709542,14.949185481737533,16.11
2017-08-20 18:54:00,15.835,15.323631962929182,15.15755647957786,16.483333333333334
2017-08-20 19:54:00,16.64,15.890380699774528,15.77253089790823,17.556666666666665
2017-08-20 20:54:00,17.75,16.766158455246742,16.723759250948248,18.869999999999997
2017-08-20 21:54:00,18.585,17.31750451809092,17.38568549145321,19.983333333333334
2017-08-20 22:54:00,19.14,17.675780271751233,17.825186653236116,20.723333333333333
2017-08-20 23:54:00,18.89,17.66638432339356,17.715063328939586,20.186666666666667
2017-08-21 00:54:00,18.61,17.485567631504093,17.49442518472626,19.813333333333333
2017-08-21 01:54:00,17.195,16.545087866002177,16.420288373208972,17.926666666666666
2017-08-21 02:54:00,16.085,15.620525865980246,15.46189281388267,16.65
2017-08-21 03:54:00,15.555,15.24342101526663,15.087427242334126,15.943333333333332
2017-08-21 04:54:00,15.25,15.023268535711916,14.883008891540417,15.536666666666665
2017-08-21 05:54:00,15.555,15.401522183524413,15.296910058190416,15.739999999999998
2017-08-21 06:54:00,15.86,15.619248325540582,15.48898069814813,16.146666666666665
2017-08-21 07:54:00,15.86,15.619327255702022,15.48898069814813,16.146666666666665
2017-08-21 08:54:00,15.86,15.619366716453396,15.48898069814813,16.146666666666665
2017-08-21 09:54:00,15.86,15.619445629299173,15.48898069814813,16.146666666666665
2017-08-21 10:54:00,15.86,15.619445629299173,15.48898069814813,16.146666666666665
2017-08-21 11:54:00,15.25,15.023746198504092,14.883008891540417,15.536666666666665
2017-08-21 12:54:00,15.25,15.023905324314343,14.883008891540417,15.536666666666665
2017-08-21 13:54:00,15.25,15.024143923928946,14.883008891540417,15.536666666666665
2017-08-21 14:54:00,15.86,15.620155325894915,15.48898069814813,16.146666666666665
2017-08-21 15:54:00,15.86,15.620273517910864,15.48898069814813,16.146666666666665
2017-08-21 16:54:00,16.11,15.797533617426302,15.652590798509738,16.479999999999997
2017-08-21 17:54:00,15.86,15.620509824235192,15.48898069814813,16.146666666666665
2017-08-21 18:54:00,16.11,15.797786474458848,15.652590798509738,16.479999999999997
2017-08-21 19:54:00,17.195,16.550481704631917,16.420288373208972,17.926666666666666
2017-08-21 20:54:00,17.805,16.96229657047444,16.875159945510234,18.74
2017-08-21 21:54:00,17.195,16.396457394481626,16.29268769754078,18.13
2017-08-21 22:54:00,17.5,16.48622620036194,16.451644496052655,18.703333333333333
2017-08-21 23:54:00,17.5,16.48622620036194,16.451644496052655,18.703333333333333
2017-08-22 00:54:00,17.195,16.395833811477186,16.29268769754078,18.13
2017-08-22 01:54:00,16.64,16.013221737066996,15.870654908351938,17.39
2017-08-22 02:54:00,15.835,15.326025316596377,15.15755647957786,16.483333333333334
2017-08-22 03:54:00,15.805,15.424788985414319,15.260326306241215,16.276666666666664
2017-08-22 04:54:00,15.0,14.720980637938503,14.556358128645737,15.369999999999997
2017-08-22 05:54:00,14.445,14.171016580657186,13.990851309276689,14.833333333333332
2017-08-22 06:54:00,14.14,13.94093394474526,13.781938289595061,14.426666666666666
2017-08-22 07:54:00,13.89,13.645089214270696,13.459548182397135,14.26
2017-08-22 08:54:00,13.305,13.083030581694873,12.892387822378382,13.666666666666668
2017-08-22 09:54:00,13.305,13.082928129642863,12.892387822378382,13.666666666666668
2017-08-22 10:54:00,13.585,13.41045106257782,13.248338945587271,13.853333333333333
2017-08-22 11:54:00,13.055,12.886756349675531,12.716336569862708,13.333333333333332
2017-08-22 12:54:00,13.055,12.88699405570904,12.716336569862708,13.333333333333332
